"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/26/2022","AQS","420010001","1","4.4","ppb","4","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/27/2022","AQS","420010001","1","3.3","ppb","3","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/28/2022","AQS","420010001","1","1.8","ppb","1","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/29/2022","AQS","420010001","1","3.3","ppb","3","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/30/2022","AQS","420010001","1","3.2","ppb","3","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/01/2022","AQS","420010001","1","6.6","ppb","6","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/02/2022","AQS","420010001","1","4.1","ppb","4","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/03/2022","AQS","420010001","1","7.2","ppb","7","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/04/2022","AQS","420010001","1","3.3","ppb","3","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/05/2022","AQS","420010001","1","3.9","ppb","3","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/06/2022","AQS","420010001","1","5.6","ppb","5","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
