Year,State,County,County Code,State Code,RUCC,FIPS,Pollutant concentration (PPM),State Name Code,County Full Name,Population,Pollutant,Max AQI
2021,California,Los Angeles,037,06,1.0,06037,25.729291674063553,CA,Los Angeles County,9809462,NO2,281.0
2021,California,Madera,039,06,1.0,06039,11.916759776536312,CA,Madera County,158966,NO2,194.0
2021,Pennsylvania,Adams,001,42,3.0,42001,4.094462540716612,PA,Adams County,105686,NO2,129.0
2021,Pennsylvania,Allegheny,003,42,1.0,42003,15.850071530758227,PA,Allegheny County,1245220,NO2,153.0
2021,Pennsylvania,Cambria,021,42,3.0,42021,13.1875,PA,Cambria County,132237,NO2,130.0
2021,Pennsylvania,Lackawanna,069,42,2.0,42069,24.797101449275363,PA,Lackawanna County,216043,NO2,137.0
2021,Pennsylvania,Philadelphia,101,42,1.0,42101,24.003075489282384,PA,Philadelphia County,1589623,NO2,152.0
2021,Pennsylvania,York,133,42,2.0,42133,19.30952380952381,PA,York County,459183,NO2,148.0
2021,Texas,Bexar,029,48,1.0,48029,10.794186046511628,TX,Bexar County,2030981,NO2,147.0
2021,Texas,Dallas,113,48,1.0,48113,17.879453189726593,TX,Dallas County,2588235,NO2,174.0
2021,Texas,El Paso,141,48,2.0,48141,30.564742785445418,TX,El Paso County,867499,NO2,150.0
2021,Texas,Harris,201,48,1.0,48201,18.639618303058175,TX,Harris County,4735517,NO2,179.0
2021,Texas,Harrison,203,48,2.0,48203,5.9025352112676055,TX,Harrison County,69527,NO2,158.0
2021,Texas,Jefferson,245,48,2.0,48245,9.715456674473067,TX,Jefferson County,253727,NO2,115.0
2021,Texas,Tarrant,439,48,1.0,48439,17.81577164973391,TX,Tarrant County,2129695,NO2,209.0
2021,Texas,Travis,453,48,1.0,48453,16.23140028288543,TX,Travis County,1308868,NO2,101.0
2022,California,Alameda,001,06,1.0,06001,19.507897664071187,CA,Alameda County,1628259,NO2,122.0
2022,California,Butte,007,06,3.0,06007,11.768,CA,Butte County,207369,NO2,119.0
2022,California,Contra Costa,013,06,1.0,06013,12.343021582733812,CA,Contra Costa County,1157019,NO2,129.0
2022,California,Fresno,019,06,1.0,06019,19.959630856601986,CA,Fresno County,1015359,NO2,159.0
2022,California,Humboldt,023,06,5.0,06023,5.170030581039755,CA,Humboldt County,134944,NO2,70.0
2022,California,Imperial,025,06,3.0,06025,21.49462989840348,CA,Imperial County,178940,NO2,762.0
2022,California,Kern,029,06,2.0,06029,24.12186459489456,CA,Kern County,916751,NO2,289.0
2022,California,Los Angeles,037,06,1.0,06037,25.870868504970925,CA,Los Angeles County,9719765,NO2,209.0
2022,California,Madera,039,06,1.0,06039,12.461944444444445,CA,Madera County,160329,NO2,136.0
2022,Pennsylvania,Adams,001,42,3.0,42001,5.046067415730337,PA,Adams County,105959,NO2,97.0
2022,Pennsylvania,Allegheny,003,42,1.0,42003,15.158031674208146,PA,Allegheny County,1232605,NO2,151.0
2022,Pennsylvania,Cambria,021,42,3.0,42021,13.659604519774012,PA,Cambria County,131429,NO2,119.0
2022,Pennsylvania,Lackawanna,069,42,2.0,42069,25.215819209039548,PA,Lackawanna County,215750,NO2,71.0
2022,Pennsylvania,Philadelphia,101,42,1.0,42101,24.32075471698113,PA,Philadelphia County,1566836,NO2,113.0
2022,Pennsylvania,York,133,42,2.0,42133,19.30819209039548,PA,York County,461049,NO2,105.0
2022,Texas,Bexar,029,48,1.0,48029,11.61350507416081,TX,Bexar County,2060191,NO2,194.0
2022,Texas,Dallas,113,48,1.0,48113,18.67133443163097,TX,Dallas County,2601993,NO2,148.0
2022,Texas,El Paso,141,48,2.0,48141,29.809365558912386,TX,El Paso County,867239,NO2,163.0
2022,Texas,Harris,201,48,1.0,48201,19.77145317545748,TX,Harris County,4781337,NO2,179.0
2022,Texas,Harrison,203,48,2.0,48203,6.8575949367088604,TX,Harrison County,70038,NO2,173.0
2022,Texas,Jefferson,245,48,2.0,48245,11.143055555555556,TX,Jefferson County,251601,NO2,129.0
2022,Texas,Tarrant,439,48,1.0,48439,18.523655913978494,TX,Tarrant County,2155646,NO2,172.0
2022,Texas,Travis,453,48,1.0,48453,16.470209059233447,TX,Travis County,1327550,NO2,129.0
2023,California,Alameda,001,06,1.0,06001,17.00995219469796,CA,Alameda County,1622188,NO2,104.0
2023,California,Butte,007,06,3.0,06007,11.654407294832827,CA,Butte County,207172,NO2,87.0
2023,California,Contra Costa,013,06,1.0,06013,10.256402877697841,CA,Contra Costa County,1155025,NO2,87.0
2023,California,Fresno,019,06,1.0,06019,17.91797806390081,CA,Fresno County,1017162,NO2,151.0
2023,California,Humboldt,023,06,5.0,06023,4.522287390029326,CA,Humboldt County,133985,NO2,274.0
2023,California,Imperial,025,06,3.0,06025,20.240529247910864,CA,Imperial County,179057,NO2,505.0
2023,California,Kern,029,06,2.0,06029,21.416769144773617,CA,Kern County,913820,NO2,111.0
2023,California,Los Angeles,037,06,1.0,06037,22.78451536643026,CA,Los Angeles County,9663345,NO2,192.0
2023,California,Madera,039,06,1.0,06039,10.910584958217271,CA,Madera County,162858,NO2,216.0
2023,Pennsylvania,Adams,001,42,3.0,42001,4.461690140845071,PA,Adams County,106748,NO2,216.0
2023,Pennsylvania,Allegheny,003,42,1.0,42003,15.873087557603686,PA,Allegheny County,1224825,NO2,212.0
2023,Pennsylvania,Cambria,021,42,3.0,42021,12.730337078651685,PA,Cambria County,130668,NO2,187.0
2023,Pennsylvania,Lackawanna,069,42,2.0,42069,24.376190476190473,PA,Lackawanna County,216123,NO2,268.0
2023,Pennsylvania,Philadelphia,101,42,1.0,42101,24.579564806054872,PA,Philadelphia County,1550542,NO2,290.0
2023,Pennsylvania,York,133,42,2.0,42133,19.519648093841642,PA,York County,464640,NO2,231.0
2023,Texas,Bexar,029,48,1.0,48029,11.859278350515464,TX,Bexar County,2087679,NO2,279.0
2023,Texas,Dallas,113,48,1.0,48113,18.306280587275694,TX,Dallas County,2606358,NO2,172.0
